YB,Lon,Lat,Vlsr,+/-,Dist,+/-,Integrated Probability,Arm,Distance,+/-,Integrated Probability,Arm
3072,103.10,1.96,-19.6,1.05,0.80,1.05,0.40,...,2.58,1.05,0.40,...
3073,103.20,1.96,-3.1,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3074,103.22,0.68,-69.9,0.07,6.82,0.07,0.03,Per?,3.19,0.07,0.03,Per?
3075,103.23,0.91,-45.2,0.08,3.37,0.08,0.15,Per,3.16,0.08,0.15,Per
3076,103.23,2.53,-1.5,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3077,103.24,2.66,-2.3,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3078,103.24,1.97,-3.1,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3079,103.31,0.23,-33.6,0.00,3.40,0.00,0.00,...,0.00,0.00,0.00,...
3080,103.33,1.79,-17.1,0.85,0.80,0.85,0.31,...,2.49,0.85,0.31,...
3081,103.33,1.79,-17.1,0.85,0.80,0.85,0.31,...,2.49,0.85,0.31,...
3082,103.35,2.46,-1.5,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3083,103.41,1.22,-10.5,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3084,103.45,1.15,-10.5,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3085,103.46,3.07,-2.3,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3086,103.46,1.44,-55.9,0.43,3.10,0.43,0.32,Per,3.46,0.43,0.32,Per
3087,103.46,1.72,-119.4,0.00,12.05,0.00,0.00,...,0.00,0.00,0.00,...
3088,103.46,1.91,-18.0,0.85,0.80,0.85,0.36,...,2.51,0.85,0.36,...
3089,103.47,0.56,-6.4,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3090,103.47,1.55,-64.9,0.17,6.33,0.17,0.12,Per,3.09,0.17,0.12,Per
3091,103.47,1.54,-64.9,0.31,6.32,0.31,0.14,Per,3.07,0.31,0.14,Per
3092,103.48,1.52,-64.9,0.31,6.32,0.31,0.14,Per,3.07,0.31,0.14,Per
3093,103.48,0.53,-37.7,0.00,3.37,0.00,0.00,...,0.00,0.00,0.00,...
3094,103.48,2.00,-18.0,0.84,0.81,0.84,0.36,...,2.51,0.84,0.36,...
3095,103.50,1.59,22.4,0.00,2.89,0.00,0.00,...,0.00,0.00,0.00,...
3096,103.52,1.53,-64.9,0.17,6.33,0.17,0.12,Per,3.09,0.17,0.12,Per
3097,103.53,1.64,-30.3,0.11,3.35,0.11,0.21,Loc,0.82,0.11,0.21,Loc
3098,103.63,0.75,-44.3,0.12,3.41,0.12,0.22,Per,3.12,0.12,0.22,Per
3099,103.64,2.20,-17.1,0.82,0.81,0.82,0.29,...,2.50,0.82,0.29,...
3100,103.64,1.09,-55.9,1.17,3.10,1.17,0.40,...,4.10,1.17,0.40,...
3101,103.66,1.41,-8.1,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3102,103.69,0.44,-60.0,0.17,5.12,0.17,0.35,Per,3.10,0.17,0.35,Per
3103,103.70,2.51,-2.3,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3104,103.71,1.96,-2.3,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3105,103.73,1.81,-60.0,0.18,5.88,0.18,0.29,Per,3.08,0.18,0.29,Per
3106,103.75,2.18,-16.3,0.82,0.81,0.82,0.24,...,2.49,0.82,0.24,...
3107,103.80,1.40,-5.6,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3108,103.80,1.24,-78.1,0.07,7.61,0.07,0.02,...?,3.19,0.07,0.02,...?
3109,103.80,0.41,-63.3,0.19,5.98,0.19,0.23,Per,3.09,0.19,0.23,Per
3110,103.85,1.23,-57.5,0.14,3.28,0.14,0.34,Per,3.12,0.14,0.34,Per
3111,103.87,1.86,-18.8,0.87,0.81,0.87,0.44,...,2.55,0.87,0.44,...
3112,103.96,1.10,-58.4,1.14,3.17,1.14,0.37,...,5.54,1.14,0.37,...
3113,104.00,2.22,-2.3,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3114,104.01,1.27,-52.6,0.53,3.08,0.53,0.18,Per,3.37,0.53,0.18,Per
3115,104.05,1.00,-56.7,1.48,3.10,1.48,0.36,...,4.50,1.48,0.36,...
3116,104.11,1.71,22.4,0.00,2.76,0.00,0.00,...,0.00,0.00,0.00,...
3117,104.13,2.17,-2.3,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3118,104.14,1.28,-48.5,0.00,3.15,0.00,0.00,...,0.00,0.00,0.00,...
3119,104.17,2.09,16.7,0.00,2.76,0.00,0.00,...,0.00,0.00,0.00,...
3120,104.18,0.18,-55.1,0.00,3.22,0.00,0.00,...,0.00,0.00,0.00,...
3121,104.20,2.60,-3.1,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3122,104.22,1.40,2.7,0.00,0.76,0.00,0.00,...,0.00,0.00,0.00,...
3123,104.24,2.62,-3.1,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3124,104.25,2.88,-79.8,0.07,7.65,0.07,0.01,...,3.21,0.07,0.01,...
3125,104.29,2.89,-79.8,0.07,7.65,0.07,0.01,...,3.21,0.07,0.01,...
3126,104.29,2.65,-3.1,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3127,104.30,2.89,-79.8,0.07,7.65,0.07,0.01,...,3.21,0.07,0.01,...
3128,104.34,3.10,-81.4,0.91,8.42,0.91,0.44,Out,7.19,0.91,0.44,Out
3129,104.35,1.96,-46.8,0.44,3.06,0.44,0.32,Per,3.46,0.44,0.32,Per
3130,104.35,2.83,-79.0,0.07,7.61,0.07,0.01,...,3.21,0.07,0.01,...
3131,104.35,2.80,-62.5,0.25,6.11,0.25,0.16,Per,3.01,0.25,0.16,Per
3132,104.35,1.95,-46.8,0.44,3.06,0.44,0.32,Per,3.46,0.44,0.32,Per
3133,104.35,0.40,-53.4,0.00,3.22,0.00,0.00,...,0.00,0.00,0.00,...
3134,104.35,1.29,-50.1,0.00,3.14,0.00,0.00,...,0.00,0.00,0.00,...
3135,104.36,0.41,-53.4,0.00,3.22,0.00,0.00,...,0.00,0.00,0.00,...
3136,104.36,0.25,-56.7,0.07,3.16,0.07,0.47,Per,3.21,0.07,0.47,Per
3137,104.37,0.17,-67.4,0.07,6.43,0.07,0.06,Per,3.22,0.07,0.06,Per
3138,104.39,2.88,-79.8,0.07,7.64,0.07,0.01,...,3.21,0.07,0.01,...
3139,104.40,0.37,-56.7,0.07,3.16,0.07,0.45,Per,3.21,0.07,0.45,Per
3140,104.41,3.01,-64.1,0.07,6.25,0.07,0.03,Per,3.21,0.07,0.03,Per
3141,104.42,1.18,-22.9,0.11,2.79,0.11,0.34,Loc,0.80,0.11,0.34,Loc
3142,104.44,1.03,-1.5,0.00,0.76,0.00,0.00,...,0.00,0.00,0.00,...
3143,104.44,2.39,-37.7,0.00,3.44,0.00,0.00,...,0.00,0.00,0.00,...
3144,104.44,1.18,-23.7,0.11,2.83,0.11,0.32,Loc,0.80,0.11,0.32,Loc
3145,104.47,1.82,-41.9,0.76,3.17,0.76,0.30,...,4.08,0.76,0.30,...
3146,104.54,0.28,-56.7,0.07,3.16,0.07,0.46,Per,3.21,0.07,0.46,Per
