YB,GLON,GLAT,r,Vstrongest (km/s),g amplitude,g velocity,g stddev,uncertamp,uncertgvel,uncertstd,+/-,P(far),Extra
1,-0.041432958,0.167050008,0.003658291,-5.25,14.5136410117,-5.21371316011,1.21179901952,0.254624857793,0.0921275367658,0.0921275367658,5,0.5,none
2,-0.023111213,0.169159859,0.003910418,-6.25,10.5354621424,-6.16626101823,1.06800037224,0.167173251644,0.0195694490272,0.0195694490272,5,0.5,none
3,0.040875613,0.020200699,0.0031422,-13.5,6.40389356005,-13.4074270605,2.0,0.246444753562,0.165710876429,0.165710876429,5,0.5,none
4,0.186036858,-0.611813504,0.003039883,Data_NA,6.40389356005,Data_NA,2.0,0.246444753562,0.165710876429,0.165710876429,5,0.5,none
5,0.200750902,-0.513360793,0.002216539,Data_NA,6.40389356005,Data_NA,2.0,0.246444753562,0.165710876429,0.165710876429,5,0.5,none
6,0.209509309,-0.001949522,0.003344403,69.75,5.63161651508,69.6897962748,2.0,0.246555061838,0.147008718254,0.147008718254,5,0.5,none
7,0.279043238,-0.484630374,0.006592027,20.0,6.75558817765,18.2815255044,2.0,0.0721092852206,0.0418447357357,0.0418447357357,5,0.5,none
8,0.313508954,-0.203541295,0.004564503,19.25,20.6359312358,18.9883920033,1.49027781903,0.164976811802,0.0137574964189,0.0137574964189,5,0.5,none
9,0.314133033,-0.192718231,0.004588912,19.25,22.8274097332,18.9579133191,1.55707284468,0.155664995934,0.0122608635525,0.0122608635525,5,0.5,none
10,0.331705943,-0.062484792,0.004423274,17.25,7.49912990246,16.7996320975,2.0,0.242257974452,0.145232130756,0.145232130756,5,0.5,none
11,0.336513676,-0.013365488,0.004533226,24.5,4.28620808272,24.5538432717,2.0,0.267708472178,0.184525606636,0.184525606636,5,0.5,none
12,0.381538385,0.016557297,0.005646113,33.75,6.77885402674,33.8822319774,2.0,0.188898918779,0.130249920682,0.130249920682,5,0.5,none
13,0.410835395,-0.059523745,0.002118394,89.25,5.03257582447,89.2962869616,2.0,0.297455717419,0.200577976709,0.200577976709,5,0.5,none
14,0.467861281,-0.675211245,0.003053696,Data_NA,5.03257582447,Data_NA,2.0,0.297455717419,0.200577976709,0.200577976709,5,0.5,none
15,0.470496721,-0.055056059,0.002288991,38.25,6.31579171176,38.230197109,2.0,0.345548109595,0.187470483403,0.187470483403,5,0.5,none
16,0.479391879,0.073992663,0.004144626,43.5,2.97917412742,43.6256255299,2.0,0.137103238486,0.151576077378,0.151576077378,5,0.5,none
17,0.489693602,-0.074343193,0.003861887,88.25,4.34657820761,88.2149300052,2.0,0.25459629397,0.165382222456,0.165382222456,5,0.5,none
18,0.503642286,-0.788771411,0.002569483,Data_NA,4.34657820761,Data_NA,2.0,0.25459629397,0.165382222456,0.165382222456,5,0.5,none
19,0.528318062,0.181778051,0.004412792,-0.5,5.20649441079,-1.97039443063,2.0,0.0882681403835,0.0994238053541,0.0994238053541,5,0.5,none
20,0.532688594,0.168534616,0.002580367,-193.25,1.56355990171,-193.506658795,1.34017719299,0.220040497833,0.343069903636,0.343069903895,5,0.5,none
21,0.534372743,-0.082052388,0.004587437,45.0,4.06949009021,44.7745377177,2.0,0.136051766816,0.144064014883,0.144064014883,5,0.5,none
22,0.544797809,-0.84227851,0.003495143,Data_NA,4.06949009021,Data_NA,2.0,0.136051766816,0.144064014883,0.144064014883,5,0.5,none
23,0.545292155,-0.847688094,0.003483176,Data_NA,4.06949009021,Data_NA,2.0,0.136051766816,0.144064014883,0.144064014883,5,0.5,none
24,0.546447128,-0.851175796,0.002960849,Data_NA,4.06949009021,Data_NA,2.0,0.136051766816,0.144064014883,0.144064014883,5,0.5,none
25,0.551001286,-0.85213406,0.002411606,Data_NA,4.06949009021,Data_NA,2.0,0.136051766816,0.144064014883,0.144064014883,5,0.5,none
26,0.563255078,-0.854075899,0.00472839,Data_NA,4.06949009021,Data_NA,2.0,0.136051766816,0.144064014883,0.144064014883,5,0.5,none
27,0.582542191,-0.870940308,0.003821563,Data_NA,4.06949009021,Data_NA,2.0,0.136051766816,0.144064014883,0.144064014883,5,0.5,none
28,0.591257836,0.049896932,0.004404005,32.75,3.01091538473,32.9005853198,2.0,0.155740920261,0.177507364585,0.177507364585,5,0.5,none
29,0.602098065,-0.050016751,0.002937529,52.0,7.71806391803,52.1033588008,2.0,0.388598382474,0.177437754969,0.177437754969,5,0.5,none
30,0.630839294,-0.027189752,0.004124908,63.0,7.1307395437,63.0765310334,2.0,0.398522387691,0.193383174831,0.193383174831,5,0.5,none
31,0.640261431,-0.112105302,0.004505274,28.0,6.81114670469,28.0477112999,2.0,0.316765907199,0.162203786101,0.162203786101,5,0.5,none
32,0.65488722,-0.068756682,0.001361003,67.0,6.13637594687,67.0246211611,2.0,0.345554203305,0.194542589653,0.194542589653,5,0.5,none
33,0.666360945,-0.050347657,0.001329416,73.0,9.07235696333,72.8211329233,2.0,0.478153965008,0.185297895556,0.185297895556,5,0.5,none
34,0.669359903,-0.035040541,0.001556553,53.0,15.0680827262,53.1217386839,2.0,0.663378910791,0.193052838172,0.193052838172,5,0.5,none
35,0.681024796,-0.034553308,0.00284994,71.25,8.39239770338,71.3569749419,2.0,0.431386076132,0.184910050905,0.184910050905,5,0.5,none
36,0.692672725,-0.045339289,0.00145236,53.5,8.47476703543,53.4825805516,2.0,0.395505524204,0.158265626726,0.158265626726,5,0.5,none
37,0.697988603,-0.050771984,0.0030465,55.0,4.97313465259,54.9351750733,2.0,0.333007207541,0.240194349465,0.240194349465,5,0.5,none
38,0.835652994,0.18474578,0.003372367,6.25,6.45342619801,5.9425729784,1.69162119796,0.151698950302,0.0459195898601,0.0459195898601,5,0.5,none
39,0.88404305,0.054338056,0.002796365,99.25,2.520627141,98.3264129156,2.0,0.15804290055,0.97377402787,0.97377402787,5,0.5,none
40,1.005403724,-0.235483031,0.002574481,-0.75,3.76631512642,-0.555233808505,2.0,0.155321916387,0.178808716452,0.178808716452,5,0.5,none
41,1.049377923,-0.069734324,0.001730598,-17.5,3.20784258842,-17.3348987553,0.980611173237,0.349989199636,0.145227006068,0.145227006068,5,0.5,none
42,1.125983211,-0.106474644,0.004522291,-15.0,9.14525968552,-15.2268555326,1.78643336507,0.18905778287,0.0559618684873,0.0559618684873,5,0.5,none
43,1.12828771,-0.360356185,0.00224676,10.75,3.75364613831,10.6879205353,1.04407396079,0.195563175559,0.123167004966,0.123167004966,5,0.5,none
44,1.138340057,0.807983763,0.005571626,Data_NA,3.75364613831,Data_NA,1.04407396079,0.195563175559,0.123167004966,0.123167004966,5,0.5,none
45,1.143067838,-0.27625245,0.001813521,-11.75,2.55904061794,-11.3071611263,1.03127206705,0.259302304574,4.44615720187,4.44615720187,5,0.5,none
46,1.329646872,0.15175732,0.005400513,-17.0,11.9589185843,-16.9846445039,1.28414767418,0.175204722883,0.0217226828005,0.0217226828005,5,0.5,none
47,1.332022513,0.088246889,0.003908029,-8.5,3.02388667068,-8.49671126266,2.0,0.17627167117,0.15336351198,0.15336351198,5,0.5,none
48,1.391253124,0.074623929,0.002296421,-8.75,4.48306250572,-8.81563837013,1.2264182728,0.267037597542,0.0899739950931,0.0899739950931,5,0.5,none
49,1.396006803,-0.006568036,0.00368403,-22.75,2.72018419504,-22.371022806,1.65149488895,0.194518167478,0.167388861023,0.167388861023,5,0.5,none
50,1.488544167,-0.199085854,0.003540049,-8.75,3.57451664413,-8.01505931011,1.48762719681,0.161313937456,0.0775325529785,0.0775325529785,5,0.5,none
51,1.66328647,-0.077360405,0.002768262,-36.0,3.42407565962,-35.719892603,1.09113192139,0.18085745995,0.0665484844216,0.0665484844216,5,0.5,none
52,1.911844773,-0.272348666,0.004473318,27.0,2.59376505151,27.227589143,1.2823661231,0.118255070153,0.0772443074747,0.0772443074747,5,0.5,none
53,2.084284099,-0.577030864,0.00349291,Data_NA,2.59376505151,Data_NA,1.2823661231,0.118255070153,0.0772443074747,0.0772443074747,5,0.5,none
54,2.141216406,0.009256721,0.003617618,59.75,9.54568216976,60.1241939417,1.65977467284,0.18708875473,0.0375625307252,0.0375625307252,5,0.5,none
55,2.246406972,-0.674982519,0.003915928,Data_NA,9.54568216976,Data_NA,1.65977467284,0.18708875473,0.0375625307252,0.0375625307252,5,0.5,none
56,2.255621289,0.231755642,0.002452661,0.5,2.3145028919,2.35640929374,2.0,0.131397895814,0.359877699952,0.359877699952,5,0.5,none
57,2.308571783,0.227413056,0.002349969,0.25,4.17872704268,0.23055887359,1.29925592198,0.218151451228,7.30190599504,7.30190599504,5,0.5,none
58,2.402792243,0.068591367,0.004176257,9.25,2.98668862469,10.11627183,2.0,0.102649141415,0.334276780778,0.334276780778,5,0.5,none
59,2.405961455,0.062304577,0.001722568,12.0,2.27960543633,11.8227771121,2.0,0.117580331968,2.51927679508,2.51927679508,5,0.5,none
60,2.44419918,0.130975133,0.0023331,9.75,9.58809528351,9.69634672481,0.827317162035,0.257632832661,0.0609433466011,0.0609433466011,5,0.5,none
61,2.502895351,-0.044406174,0.002983642,10.25,5.29119882584,10.8412878971,1.74300987758,0.174716120508,0.0900241208044,0.0900241208044,5,0.5,none
62,2.590061761,0.126997043,0.001995562,11.5,3.23810749054,12.0501117566,0.90892150627,0.21998730582,0.927324527268,0.927324527268,5,0.5,none
63,2.61405845,0.133350863,0.004416986,11.0,5.05223986387,11.3414630965,1.23610326081,0.259401114044,0.549516623525,0.549516623525,5,0.5,none
64,2.67676297,0.031424145,0.002091302,93.5,2.61298495531,93.670529097,0.914706837492,0.204031378088,0.132575992538,0.132575992538,5,0.5,none
65,2.683329201,0.137807888,0.003491171,11.0,6.96961774528,10.2819022398,1.57422153504,0.116523549362,0.0314000416369,0.0314000416369,5,0.5,none
66,2.699731438,-0.059206487,0.002852946,-10.0,2.10200613737,-10.6972623287,2.0,0.111034444282,2.694946593,2.694946593,5,0.5,none
67,2.736494419,-0.081789268,0.002513762,3.25,3.5354377985,3.35624247009,2.0,0.214852157813,0.204313993255,0.204313993255,5,0.5,none
68,2.887527785,0.276793425,0.002987708,4.25,3.43164596558,4.17540162487,1.51204865834,0.163457452201,0.129119168222,0.129119168222,5,0.5,none
69,2.893489083,0.023687762,0.003443595,-3.0,4.7115473088,-2.47353534703,2.0,0.13994449917,0.103211387721,0.103211387721,5,0.5,none
70,2.962397653,-0.057400563,0.008643117,17.25,4.15215946734,17.524664939,1.32355530708,0.152040907828,0.0619346378165,0.0619346378165,5,0.5,none
71,3.207519135,-0.10739046,0.001452194,5.5,5.46078078747,5.556934982,1.46575361855,0.317169093735,0.183285714566,0.183285714566,5,0.5,none
72,3.245422582,-0.089460781,0.002144813,3.25,3.55369038582,3.01122505293,2.0,0.137245747035,0.380784281399,0.380784281399,5,0.5,none
73,3.24948384,-0.08490331,0.001684533,0.25,4.7381914258,1.00571597247,2.0,0.27479243044,0.197623482115,0.197623482115,5,0.5,none
74,3.315251639,-0.41699331,0.003389407,7.25,5.12354998738,7.06932259334,0.877400663682,0.273249075881,0.0931975965276,0.0931975965276,5,0.5,none
75,3.349619341,-0.078058481,0.004613673,10.75,10.4367627668,10.3566375965,2.0,0.153222298052,0.0493463772708,0.0493463772708,5,0.5,none
76,3.393429587,0.879851488,0.00446758,Data_NA,10.4367627668,Data_NA,2.0,0.153222298052,0.0493463772708,0.0493463772708,5,0.5,none
77,3.395180016,0.89407371,0.002935797,Data_NA,10.4367627668,Data_NA,2.0,0.153222298052,0.0493463772708,0.0493463772708,5,0.5,none
79,3.555624765,-0.798866599,0.002550722,Data_NA,10.4367627668,Data_NA,2.0,0.153222298052,0.0493463772708,0.0493463772708,5,0.5,none
80,3.564975768,0.173661713,0.001997355,69.25,1.97337368131,67.1827314115,0.372712185338,0.47437733854,0.0471608357054,0.0471608372449,5,0.5,none
81,3.579924515,-0.227534776,0.002200066,-28.0,2.95768754482,-28.1414642167,1.15923289788,0.285799041776,0.298342753922,0.298342753922,5,0.5,none
82,3.644235525,-0.21682119,0.00199652,17.0,2.18395086229,17.7083419263,1.31813104752,0.260512646006,0.555684220858,0.555684220858,5,0.5,none
83,3.649007952,0.088001115,0.002251294,-100.5,1.36640499234,-101.575461089,0.0999893761099,11.0716069042,1.69746739694,1.70597685537,5,0.5,none
84,3.649621177,-0.126232518,0.001636416,8.75,3.75498502254,7.08033512219,2.0,0.160928043926,0.287029393259,0.287029393259,5,0.5,none
85,3.660843944,-0.113249653,0.003570458,5.5,2.4191290766,5.18600596805,2.0,0.114027891204,0.28874744745,0.28874744745,5,0.5,none
86,3.689552727,-0.27045263,0.003472455,-30.5,7.4702760458,-30.649160005,1.10860881486,0.207507693307,0.0716164899131,0.0716164899131,5,0.5,none
87,3.720380205,0.01508827,0.003179962,9.5,4.16890912056,9.13820468637,1.78935420762,0.159694770712,0.140319632109,0.140319632109,5,0.5,none
88,3.741250307,0.022807223,0.002514153,7.5,4.86357505322,7.92277133335,2.0,0.159448357179,0.14570169367,0.14570169367,5,0.5,none
89,3.765597406,0.039270823,0.00287265,9.25,2.88310213089,8.06608977571,2.0,0.128772275617,1.03824951823,1.03824951823,5,0.5,none
90,3.830031796,-0.138432824,0.003327251,199.0,1.26639242191,201.835874482,0.0,1.54363350659,7.78282328174,3.2225535864,5,0.5,none
91,3.91197972,-0.000527707,0.002708202,13.5,5.30515594482,14.5699546031,2.0,0.116479924229,0.10223479906,0.10223479906,5,0.5,none
92,3.92713793,-0.116284552,0.003964897,6.75,2.13680369225,7.05995737244,1.28136328819,0.17894323858,0.181074060631,0.181074060631,5,0.5,none
93,3.935777002,-0.003676443,0.001587008,16.5,8.82506990249,16.0766032363,1.2816542423,0.296824709623,0.0497760577539,0.0497760577539,5,0.5,none
