YB,GLON,GLAT,r,Vstrongest (km/s),g amplitude,g velocity,g stddev,uncertamp,uncertgvel,uncertstd,+/-,P(far),Extra
3072,103.1015164,1.961482855,0.001792201,-19.60145902,5.556980133,-19.60145902,2,0.2,0.2,0.2,5,0.5,none
3073,103.2026033,1.961652498,0.001923236,-3.11225862,1.073257208,-3.11225862,2,0.2,0.2,0.2,5,0.5,none
3074,103.223699,0.676087276,0.008737055,-69.89352024,0.281553805,-69.89352024,2,0.2,0.2,0.2,5,0.5,none
3075,103.2310269,0.908353466,0.00409986,-45.15971964,0.753373086,-45.15971964,2,0.2,0.2,0.2,5,0.5,none
3076,103.2318876,2.526018206,0.002543218,-1.46333858,1.144684076,-1.46333858,2,0.2,0.2,0.2,5,0.5,none
3077,103.2368032,2.664112393,0.002171108,-2.2877986,2.399605274,-2.2877986,2,0.2,0.2,0.2,5,0.5,none
3078,103.2400115,1.970157566,0.005808978,-3.11225862,1.194883943,-3.11225862,2,0.2,0.2,0.2,5,0.5,none
3079,103.3144848,0.22860004,0.004209868,-33.61727936,1.879686952,-33.61727936,2,0.2,0.2,0.2,5,0.5,none
3080,103.3288256,1.787046231,0.002640111,-17.12807896,4.849639416,-17.12807896,2,0.2,0.2,0.2,5,0.5,none
3081,103.3332029,1.786061246,0.002215195,-17.12807896,4.693379402,-17.12807896,2,0.2,0.2,0.2,5,0.5,none
3082,103.3486188,2.456655814,0.002288906,-1.46333858,1.165910959,-1.46333858,2,0.2,0.2,0.2,5,0.5,none
3083,103.4136153,1.216125944,0.003948155,-10.5323988,0.936664045,-10.5323988,2,0.2,0.2,0.2,5,0.5,none
3084,103.4468138,1.150920906,0.002072985,-10.5323988,1.809280992,-10.5323988,2,0.2,0.2,0.2,5,0.5,none
3085,103.4571259,3.0702629,0.003457495,-2.2877986,3.042446136,-2.2877986,2,0.2,0.2,0.2,5,0.5,none
3086,103.4622736,1.444045766,0.007597699,-55.8776999,0.32916981,-55.8776999,2,0.2,0.2,0.2,5,0.5,none
3087,103.4623553,1.721938566,0.001618764,-119.3611214,0.410678864,-119.3611214,2,0.2,0.2,0.2,5,0.5,none
3088,103.4624581,1.905004854,0.003007466,-17.95253898,0.859051645,-17.95253898,2,0.2,0.2,0.2,5,0.5,none
3089,103.465749,0.560258708,0.002094057,-6.4100987,0.276185036,-6.4100987,2,0.2,0.2,0.2,5,0.5,none
3090,103.4670836,1.546871715,0.003168144,-64.94676012,0.608977318,-64.94676012,2,0.2,0.2,0.2,5,0.5,none
3091,103.471401,1.54422599,0.002837696,-64.94676012,0.666454196,-64.94676012,2,0.2,0.2,0.2,5,0.5,none
3092,103.4787447,1.518745859,0.002852641,-64.94676012,1.103105426,-64.94676012,2,0.2,0.2,0.2,5,0.5,none
3093,103.4828264,0.531860994,0.003957673,-37.73957946,0.297851563,-37.73957946,2,0.2,0.2,0.2,5,0.5,none
3094,103.4834354,2.000915232,0.007292143,-17.95253898,6.685079575,-17.95253898,2,0.2,0.2,0.2,5,0.5,none
3095,103.4966536,1.585152678,0.003121691,22.446002,0.328825235,22.446002,2,0.2,0.2,0.2,5,0.5,none
3096,103.5178924,1.527282008,0.006345035,-64.94676012,1.088191986,-64.94676012,2,0.2,0.2,0.2,5,0.5,none
3097,103.5294751,1.640659522,0.001823425,-30.31943928,0.355414629,-30.31943928,2,0.2,0.2,0.2,5,0.5,none
